title,polarity,timestamp
"RT Números del #COVID19 en California: Casos confirmados hasta el día de hoy 1,110,370 Nota Es posible que los núm…",neu,2020-11-24 00:06:08+00:00
RT Sobering—cases rising so fast that we will have 3000 deaths a day around Christmas time #COVID19 (Analysis by my FAS T…,pos,2020-11-23 23:50:27+00:00
"RT The federal prison system will prioritize giving the #COVID19 vaccine to staff before inmates per an investigation. 22,…",neu,2020-11-24 00:01:52+00:00
RT Kolejne dobre wiadomości na temat odporności po przebytym #COVID19. Tym razem chorzy z łagodnymi objawami Odpornoś utrzy…,neu,2020-11-24 00:02:20+00:00
#COVID19 testing in #ElPaso,neu,2020-11-24 00:07:25+00:00
RT This makes mask-wearing and social distancing EXTREMELY important to the controlling of the spread of #COVID19 https://t.co/J…,pos,2020-11-24 00:13:07+00:00
d'accordissimo Per questi fin troppo facile fare il f.... col c.. degli altri ora di cominciare ad usare il loro inviolato deretano #vaccinoCovid #vaccino #COVID19,neu,2020-11-24 00:13:28+00:00
Important Update... Covid vaccine Doctors say CDC should warn people the dangerous side effects from shots won't be 'walk in the park #COVID19 https://t.co/3nlpOhiP1G,neg,2020-11-24 00:13:49+00:00
RT Treatments for #COVID19 What helps what doesn't and what's in the pipeline https://t.co/M9h7jyx1lH #HarvardHealth htt…,neu,2020-11-24 00:07:40+00:00
Whoa great idea Does anyone in B.C live in a building where the strata has revamped th e shared amenity space to help others in some way during this #COVID19 pandemic https://t.co/GnfWMG7Mwe,pos,2020-11-24 00:14:28+00:00
Thanks but no thanks just do simple research and you will discover that #COVID19 ie no worse than the #flu,pos,2020-11-24 00:15:26+00:00
"RT With a low cost &amp easy distribution AstraZeneca's #COVID19 vaccine could be ""hugely positive, says Dr Jim Yong Kim Still,…",pos,2020-11-24 00:14:21+00:00
RT #Ohio’s daily #COVID19 rate once again hit a new high We are in the midst of an unprecedented crisis Congress must c…,pos,2020-11-24 00:15:25+00:00
RT Thank you to all of our public health partners throughout the state. We couldn't fight #COVID19 without you. We also c…,neu,2020-11-24 00:19:16+00:00
RT Promising #COVID19 #vaccine results are yet another reason to act now to stop spread Otherwise we risk missing yet another…,neu,2020-11-24 00:20:24+00:00
I delivered this ✉ from Sandra a verified voter in Appleton Wis. to #WI08 #WIpolitics #COVID19 Write your own https://t.co/z5540KFSKD,pos,2020-11-24 00:20:25+00:00
