title,polarity,timestamp
"OVER 265,000 DEAD AMERICANS THEY KNEW. THEY LIED THEY’RE STILL LYING #COVID19 #WearAMaskSaveALife 😷 https://t.co/80VfK1vrwE",neg,2020-11-24 23:57:43+00:00
RT We know children are at risk of getting #COVID19 in the US and globally They must be included in vaccine trials to en…,neu,2020-11-24 23:59:34+00:00
RT Public health warnings “Don’t travel for Thanksgiving holidays.” Americans “hold my beer” #COVID19,neu,2020-11-25 00:02:57+00:00
ABC NEWS PRIME (November 25 2020 8:00 HKT #TRANSITIONTOBIDEN #AMERICAISBACK #COVID2019 #COVID19 #MINNEAPOLIS #ABC,neu,2020-11-25 00:05:05+00:00
Our front page today: Jobs abound but no takers Covid-19 outbreak disrupts Top Glove production #jobs #employment #TopGlove #COVID19 #TMRNews #TMRPhoto,pos,2020-11-25 00:06:12+00:00
When your top local news is that ICU's are filling up fast and hospitals could soon reach capacity it brings it home how dire the #COVID19 pandemic is in the U.S.,pos,2020-11-25 00:03:21+00:00
#PublicHealth #Warning.. Store customers at risk #COVID19 _tuc,neu,2020-11-25 00:05:34+00:00
#RIP to a hockey pioneer Fred #Sasakamoose The first player of #Indigenous culture who passed away by complications of #COVID19 Gone but forgotten.,pos,2020-11-25 00:05:30+00:00
#COVID19,neu,2020-11-25 00:06:48+00:00
RT When you want to start a panic. #COVID19,neu,2020-11-25 00:07:19+00:00
Okay let me get this straight says I can't go to mom's for Christmas but we can all meet up at the bar #Alberta #COVID19 #familygatherings,pos,2020-11-25 00:07:45+00:00
"RT _Garrett Yesterday 85,700 Americans were hospitalized with #COVID19 So: there're 6,146 hospitals in the US containing 924,1…",neu,2020-11-25 00:09:11+00:00
GET LIVE #COVID19 UPDATES THESE ARE UPDATED QUICKER THAN TV NEWS WITH AN INTERACTIVE MAP GO TO 15 #BeatTheCheat,pos,2020-11-25 00:04:18+00:00
RT México es el último lugar en el índice de Bloomberg por su desempeño ante el #COVID19 Repito ÚLTIMO LUGAR https://t.co/…,neu,2020-11-25 00:08:53+00:00
RT México es el último lugar en el índice de Bloomberg por su desempeño ante el #COVID19 Repito ÚLTIMO LUGAR https://t.co/…,neu,2020-11-25 00:08:57+00:00
RT Public health warnings “Don’t travel for Thanksgiving holidays.” Americans “hold my beer” #COVID19,neu,2020-11-25 00:00:43+00:00
#COVID19 en #Corrientes: ✔ 5 personas fallecieron en las últimas horas. ✔ 140 desde el inicio de la pandemia. ✔ 155 pacientes internados en el Hospital de Campaña. ✔ 31 en terapia intensiva ✔ 28 con asistencia mecánica respiratoria. 4 recuperados y dados de alta,neu,2020-11-25 00:13:30+00:00
Trump wants credit for the stock market so he came out today to tout it's performance The funny thing is when it comes to taking responsiblity for #COVID19 he takes no responsibility at all That's the kind of guy who you can't trust #msnbc #morningjoe,pos,2020-11-25 00:12:30+00:00
RT The cure is worse than the disease #COVID19 #lockdown #SanitaryFascism,neg,2020-11-25 00:16:51+00:00
RT Un grupo de científicos en #Israel ha ideado una forma original para matar al #COVID19 aplicando experiencia científi…,pos,2020-11-25 00:17:21+00:00
"RT In Canada over 80 of all deaths with #COVID19 have occurred in long-term care/retirement homes. ""Facing another ret…",neu,2020-11-25 00:11:21+00:00
RT Not everyone infected with #COVID19 shows symptoms so you could be spreading the virus without even knowing it This Th…,neu,2020-11-25 00:16:52+00:00
BREAKING NEWS B.C confirms record high 941 new cases of #COVID19 and 10 more deaths CBC News,pos,2020-11-25 00:15:29+00:00
"RT #COVID19 Terkini 24 Nov Kes paling tinggi hari ini 2,188 kes. Kes sembuh juga paling tinggi 1,673 Kes paling tingg…",neu,2020-11-25 00:18:40+00:00
Holy Shit 51 Deaths in LA in the last 24 hours!!!! #COVID19,neg,2020-11-25 00:17:49+00:00
"I banned someone from one of our pages who suggested that anti-restriction sentiments from an area religious leader was cause to ""send ALL Christians and Catholics home to their gods. While problematic but don't do this thing/be like this person There's enough hate #COVID19",neg,2020-11-25 00:16:24+00:00
RT Gracias lopezobrador y por su mundialmente reconocida estrategia contra el #COVID19 Gracias…,neu,2020-11-25 00:18:10+00:00
RT Respirar un aire más limpio es el mejor regalo!! #CalidadDelAire #AirQuality #AirPollution #COVID19,neu,2020-11-25 00:16:41+00:00
RT _fisica Piñera dej la embarrada con #COVID19 en un región con menos de 1 hab por km2 como Aysén y cuya capital tiene 60 mil ha…,neu,2020-11-25 00:20:17+00:00
In the news Coronavirus California shatters daily case record with more than 20000 #coronavirus #COVID19 #2019ncov,pos,2020-11-25 00:25:32+00:00
How many people need to be hospitalized or die from #COVID19 before those who CHOOSE to ignore restrictions disregard heath and safety of others refute scientific and medical evidence and rebel against the collective good start to comply and recognize they are the problem?,pos,2020-11-25 00:29:56+00:00
RT BREAKING State of public health emergency declared in Alberta #YYC #YEG #COVID19,neu,2020-11-25 00:15:20+00:00
"_Lele _ranzani _FAMERP O movimento antivacina tem uma opositora ferrenha na família Bolsonaro. Esposa do deputado Eduardo Bolsonaro e mãe de sua primeira filha a psicóloga Heloisa Bolsonaro chamou de ""coisa de retardado grupos que se opõem imunização.l #COVID19 #coronavirus https://t.co/OToCRyR8Gh",neu,2020-11-25 00:18:16+00:00
RT _mcelroy A reminder that numbers can tell you lots of things here's the rolling average of B.C.'s #COVID19 positivity rate in the l…,neg,2020-11-25 00:29:56+00:00
RT #China is a master of stealing tech It is lousy at innovating and developing it #coronavirus #COVID19 https:/…,neg,2020-11-25 00:20:49+00:00
😷 #NovaFotoDoPerfil #COVID19,neu,2020-11-25 00:35:25+00:00
With traditional #Thanksgiving celebrations discourage because of the #COVID19 pandemic this presents the perfect time to take a chance and try the Cooking With #Deadpool cookbook to make some delicious meals for the mercs with mouths in your household https://t.co/TBnM4A0CIG,pos,2020-11-25 00:30:06+00:00
#MEDIAISTHEVIRUS #COVID19 #PLANDEMIC #FAKENEWSMEDIA #TRUTHISTRUTH,neu,2020-11-25 00:36:24+00:00
RT Today the Alaska Department of Health and Social Services is reporting a record number of 13 #COVID19 deaths today It’s…,pos,2020-11-25 00:32:43+00:00
and I would assume quite a few of the 1 are greatly profiteering from #COVID19 ...?? any input sources https://t.co/bBcN6wjMJc,pos,2020-11-25 00:35:26+00:00
#VoterFraud #Trump2020 #AuditAll50States #Dominion #DominionVotingSystems #Democrats #DemocratsAreDestroyingAmerica #DemocratsAreCorrupt #Georgia #SocialismKills #ClimateChange #COVID19 #SwampPanic #Swamp #MAGA #KAG #Trump2020 #Atlanta #California #NewJersey #Michigan #FakeNews,neu,2020-11-25 00:19:02+00:00
"Cases 59,628,581 (+8,079 Deaths 1,406,283 (+0 Recovered 38,107,291 (+9,387 Active Cases 21,521,290 (36.09%) Completed Cases 39,513,574 (66.27%) Mortality Rate 2.36 (No Change) Case Fatality Rate 3.56 (No Change) #COVID19 #Coronavirus #StayHome",neg,2020-11-25 00:38:02+00:00
