title,polarity,timestamp
"भार मे पिछल 24 घंटो मे #COVID19 क 44,059 न मामल आन क बा कु मामलो क संख्य 91,39,866 हुई 511 न मौतो क बा कु मौतो क संख्य 1,33,738 हुई। कु सक्रि मामल 4,43,486 ह ग है 41,024 न डिस्चार् मामलो क बा कु ठी हु मामलो क संख्य 85,62,642 हुई https://t.co/50UVkLQkiF",neu,2020-11-23 05:29:37+00:00
RT As quienes tratan de contener #COVID19 con tapetes sanitizantes tomas de temperatura en las manos y cubrebocas en la…,neu,2020-11-23 05:30:53+00:00
RT કોરોન કાળમા ગધેડાઓન ખા સાંભળજો... #COVID19,neu,2020-11-23 05:35:12+00:00
#COVID1984 #COVID19 #COVID #coronavirus #CoronaVirusUpdates #Corona #SARSCoV2 #SARS_CoV_2,neu,2020-11-23 05:26:38+00:00
"RT #NY #COVID19 ""The state and city are counting Antigen tests as positives if we didn't we'd be leaving hundreds of thousands…",neu,2020-11-23 05:36:15+00:00
RT El problema para controlar al #COVID19 es que a pesar d tener un antídoto como el dioxido de cloro el 99 de nuestros médi…,neu,2020-11-23 05:37:32+00:00
RT [#COVID19 Un numéro vert est votre disposition 24h/24 et 7j/7 : 0 800 130 000. Plus d'informations sur,neu,2020-11-23 05:32:53+00:00
RT Remember Tim Wilson The Victorian MP who relentlessly attacked Dan Andrews over #COVID19 lock down Well now he wants your #s…,pos,2020-11-23 05:38:01+00:00
Just in case wait to vaccine healthy health workers. If something goes wrong we might end up in a very big trouble #COVID19 _tx #America,neg,2020-11-23 05:30:54+00:00
RT More people are testing positive for #COVID19 in South Dakota than are testing negative. And the Governor is doing NOTHING…,pos,2020-11-23 05:41:54+00:00
RT Remember Tim Wilson The Victorian MP who relentlessly attacked Dan Andrews over #COVID19 lock down Well now he wants your #s…,pos,2020-11-23 05:40:19+00:00
RT #MyBodyMyChoice only applies when you're the only party affected but when it comes to #masks during the #COVID19 #pandemic…,neu,2020-11-23 05:42:53+00:00
"RT Let this sink in: Ben Carson Trump’s HUD Secretary was “extremely sick w #COVID19 and became ""desperately ill” ➡️…",neg,2020-11-23 05:36:02+00:00
RT So evil And he admitted the purpose of releasing #COVID19 #CCPVirus we can catch up with the #US ahead of time we can…,neg,2020-11-23 05:36:04+00:00
RT _satyarthi Governments allocated over $8 trillion to save businesses &amp rich economies during #COVID19 but only 0.13 went to those m…,pos,2020-11-23 05:45:24+00:00
RT Disgusting Selfish Ignorant #COVID19 #coronavirus,neg,2020-11-23 05:42:59+00:00
RT #COVIDIOTS #COVID19 #cdnpoli,neu,2020-11-23 05:43:41+00:00
RT 𝗦𝗶𝗮𝗽𝗮𝗸𝗮 𝘆𝗮𝗻 𝘁𝗶𝗱𝗮 𝗽𝗲𝗿𝗹 𝗺𝗲𝗺𝗯𝗮𝘆𝗮 𝘂𝗷𝗶𝗮 𝗽𝗲𝗻𝗴𝗲𝘀𝗮𝗻𝗮𝗻 #COVID19 𝗱 𝗳𝗮𝘀𝗶𝗹𝗶𝘁 𝗸𝗲𝗿𝗮𝗷𝗮𝗮𝗻? 1 Penjawat awam yang menjalankan tug…,neu,2020-11-23 05:45:55+00:00
#BSF न पहल बा कुपवार जिल क तंगधा जिल मे मल्ट स्पेशेलिट मेडिक कैं लगाया। #CovidVaccine #COVID19 #Coronavirus https://t.co/Wqi5gXRr3b,neu,2020-11-23 05:45:57+00:00
#COVID19,neu,2020-11-23 05:46:25+00:00
کچ حصو می کورون وائر می ج میوٹیش ہوئ ہ ا ک بع ی مہل وائر بچو کیلئ بھ خطر ب گیا #GNN #GNNupdates #COVID19 #CoronaVirusUpdates #Coronaviruspakistan,neu,2020-11-23 05:51:01+00:00
RT _Garrett All over NYC yesterday via bike I saw huge blocks-long lines for #COVID19 tests I hope the folks realize a negative t…,pos,2020-11-23 05:48:12+00:00
RT The threat of #COVID19 is far from ending All our scientists are making great efforts towards developing a vaccine under t…,pos,2020-11-23 05:49:56+00:00
RT _Rajender Media Bulletin on status of positive cases #COVID19 in Telangana (Dated 23.11.2020) #TelanganaFightsCorona #StayHom…,pos,2020-11-23 05:51:41+00:00
