title,polarity,timestamp
RT A lo largo de la epidemia de #COVID19 hemos puesto a disposición de todas y todos la información que necesitan para tomar dec…,neu,2020-11-26 23:46:27+00:00
📰 Las acciones de carácter transversal que realiza el Gobierno local se han enfocado al intercambio de información y buenas prácticas para hacer frente a la pandemia de #COVID19🦠 https://t.co/aXCrtpHEG4,neu,2020-11-27 00:01:49+00:00
RT 📢🇻🇪Canciller La pandemia del #COVID19 ha representado un desafío fundamental para la cooperación (... La #Asea…,neu,2020-11-27 00:01:01+00:00
RT Te recuerdo que en esta temporada estamos enfrentando enfermedades como el #COVID19 el dengue y la influenza te invito…,neu,2020-11-27 00:14:09+00:00
RT I had to use a credit card to pay $300 for my wife and I to get tested for #COVID19 Any place that does testing should be c…,neu,2020-11-27 00:03:42+00:00
"Situación #COVID19 en Argentina Confirmados 9.043 Total 1.399.431 Fallecidos 229 Total 37.941 Ocupación camas UTI 3960 Porcentaje ocupación total camas UTI adulto: Nación 56,6% AMBA 59,2 Reporte completo https://t.co/AcExW2GV92",neu,2020-11-27 00:13:53+00:00
#HappyThanksgiving2020 Today my mom and I made a small Thanksgiving meal to drop off on my Grandparents porch My grandma tested positive for #COVID19 she takes vitamins religiously so she has managed to have minimal symptoms #Thankful #SocialDistancing #BeSafeHelpOthers,neg,2020-11-27 00:18:12+00:00
RT The #COVID19 pandemic has driven 50 million Americans into Food Insecurity this is a Public Health Issue that we must a…,neu,2020-11-27 00:18:45+00:00
Hay esperanza mientras a bajar la curva. #COVID19 😷🇲🇽🏘️❤️ https://t.co/Ug4bb1L2uR,neu,2020-11-27 00:19:22+00:00
RT The #COVID19 pandemic has driven 50 million Americans into Food Insecurity this is a Public Health Issue that we must a…,neu,2020-11-27 00:22:32+00:00
RT The #COVID19 pandemic has driven 50 million Americans into Food Insecurity this is a Public Health Issue that we must a…,neu,2020-11-27 00:19:45+00:00
The Jack Pack 🐁🐀 are hitting us hard for real 😬 STAND STRONG PATRIOT AS WE ARE THE 99% &amp WILL FOREVER #FightBack FOR THOSE WHOM CAN'T BE HEARD 🙏🌹 #SaveTheChildren #WWG1WGAWORLDWIDE #TheGreatAwakening #WWG1WGA #AllLivesMatter #COVID19 #Lockdown3 #KBF #GodWins https://t.co/UI6zrEZqMR,pos,2020-11-27 00:18:33+00:00
RT And penalises only the UK whereas #COVID19 impacts on all countries.,neu,2020-11-27 00:04:04+00:00
#SeattleTurkeyTrot this year is more of a spread out &amp virtual affair due to #coronavirus #COVID19 all to benefit we caught up w some runners early on Thanksgiving Day &amp share why the 2020 format for the trot is even more crucial 5PM,pos,2020-11-27 00:30:00+00:00
„As per the flexible approach in the current #COVID19 pandemic authors recommend mass administration of vitamin D supplements to population at risk for COVID-19.“ Möglicher Zusammenhang von Vitamin-D-Mangel mit schweren Verläufen. #Gesundheitsschutz https://t.co/6lFqfaCZIH,neu,2020-11-27 00:26:07+00:00
#COVID19,neu,2020-11-27 00:02:57+00:00
#ElPaso has had to stop recycling services for the time being because 22 out of 80 sanitation drivers are out with #coronavirus How many people here have to be affected for _margo to care enough to do something beyond performance theater #COVID19,pos,2020-11-27 00:25:31+00:00
For all those who followed the Greatest Commandment and decided to #StayHome and protect the common good of our nation this #Thanksgiving I’m thankful for you We can only defeat #COVID19 together May God bless and keep us all #HappyThanksgiving https://t.co/vNT6Fi4nmm,pos,2020-11-27 00:25:13+00:00
"RT And on this Thanksgiving 44 new #COVID19 deaths 📍6,568 deaths 📍44 new deaths reported 📍314,326 (known positive cas…",pos,2020-11-27 00:01:59+00:00
It seems more and more hospitality businesses are protesting lockdown orders Do you think restaurants should remain closed for dine-in while #COVID19 rates are rising?,pos,2020-11-27 00:47:44+00:00
RT The #COVID19 pandemic has driven 50 million Americans into Food Insecurity this is a Public Health Issue that we must a…,neu,2020-11-27 00:33:33+00:00
RT Me siento muy frustrada En esta semana llevo 15 consultas virtuales por haber dado positivo a #COVID19 Récord del añ…,neu,2020-11-27 00:43:32+00:00
RT El poder es como el agua con sal entre más lo tomas da más sed En salud esto no se debe permitir El #COVID19 requiere…,neu,2020-11-27 00:44:17+00:00
RT #Salud Debido a una deuda de 11 millones de dólares #Venezuela no podr adquirir dosis de vacunas contra #COVID19 Amplí…,neu,2020-11-27 00:40:32+00:00
RT 📍REALITY—Many individuals who contracted #COVID19 ~5 days before Thanksgiving are just now becoming contagious Even if tes…,pos,2020-11-27 00:37:11+00:00
RT Con profundo dolor informamos al pueblo de México que el Dr Mireles perdi la vida en la lucha contra el #COVID19. Su gr…,neu,2020-11-27 00:07:10+00:00
